index,movie_title,movie_year,movie_rating,movie_votes_count,title_word_count,link_url
926,Creed,2015,7.6,261477,1,https://www.imdb.com/title/tt3076658/
927,Leviathan,2014,7.6,51982,1,https://www.imdb.com/title/tt2802154/
928,Hell or High Water,2016,7.6,217413,4,https://www.imdb.com/title/tt2582782/
929,Philomena,2013,7.6,97860,1,https://www.imdb.com/title/tt2431286/
930,The Body,2012,7.6,62736,2,https://www.imdb.com/title/tt1937149/
931,The Raid: Redemption,2011,7.6,198415,3,https://www.imdb.com/title/tt1899353/
932,End of Watch,2012,7.6,238430,3,https://www.imdb.com/title/tt1855199/
933,A Star Is Born,2018,7.6,361394,4,https://www.imdb.com/title/tt1517451/
934,True Grit,2010,7.6,326638,2,https://www.imdb.com/title/tt1403865/
935,In a Better World,2010,7.6,39578,4,https://www.imdb.com/title/tt1340107/
936,Despicable Me,2010,7.6,522029,2,https://www.imdb.com/title/tt1323594/
937,50/50,2011,7.6,324008,1,https://www.imdb.com/title/tt1306980/
938,Celda 211,2009,7.6,66237,2,https://www.imdb.com/title/tt1242422/
939,Moneyball,2011,7.6,397949,1,https://www.imdb.com/title/tt1210166/
940,The Skin I Live In,2011,7.6,146958,5,https://www.imdb.com/title/tt1189073/
941,Zombieland,2009,7.6,548428,1,https://www.imdb.com/title/tt1156398/
942,The Wave,2008,7.6,106530,2,https://www.imdb.com/title/tt1063669/
943,Sherlock Holmes,2009,7.6,608736,2,https://www.imdb.com/title/tt0988045/
944,The Blind Side,2009,7.6,312727,3,https://www.imdb.com/title/tt0878804/
945,Seven Pounds,2008,7.6,295895,2,https://www.imdb.com/title/tt0814314/
946,Eastern Promises,2007,7.6,236544,2,https://www.imdb.com/title/tt0765443/
947,Stardust,2007,7.6,265037,1,https://www.imdb.com/title/tt0486655/
948,The Secret of Kells,2009,7.6,34224,4,https://www.imdb.com/title/tt0485601/
949,Inside Man,2006,7.6,357514,2,https://www.imdb.com/title/tt0454848/
950,Gone Baby Gone,2007,7.6,264904,3,https://www.imdb.com/title/tt0452623/
951,Harry Potter and the Half-Blood Prince,2009,7.6,507742,6,https://www.imdb.com/title/tt0417741/
952,300,2006,7.6,763017,1,https://www.imdb.com/title/tt0416449/
953,Match Point,2005,7.6,213252,2,https://www.imdb.com/title/tt0416320/
954,Watchmen,2009,7.6,530472,1,https://www.imdb.com/title/tt0409459/
955,Saw,2004,7.6,402059,1,https://www.imdb.com/title/tt0387564/
956,Mysterious Skin,2004,7.6,67941,2,https://www.imdb.com/title/tt0370986/
957,A Very Long Engagement,2004,7.6,72572,4,https://www.imdb.com/title/tt0344510/
958,The Station Agent,2003,7.6,69348,3,https://www.imdb.com/title/tt0340377/
959,21 Grams,2003,7.6,232009,2,https://www.imdb.com/title/tt0315733/
960,Finding Neverland,2004,7.6,203198,2,https://www.imdb.com/title/tt0308644/
961,25th Hour,2002,7.6,175596,2,https://www.imdb.com/title/tt0307901/
962,The Butterfly Effect,2004,7.6,471136,3,https://www.imdb.com/title/tt0289879/
963,I Am Sam,2001,7.6,147563,3,https://www.imdb.com/title/tt0277027/
964,Battle Royale,2000,7.6,178038,2,https://www.imdb.com/title/tt0266308/
965,The Royal Tenenbaums,2001,7.6,280454,3,https://www.imdb.com/title/tt0265666/
966,Y tu mamá también,2001,7.6,120136,4,https://www.imdb.com/title/tt0245574/
967,Harry Potter and the Sorcerer's Stone,2001,7.6,717064,6,https://www.imdb.com/title/tt0241527/
